name,score,start,stop
ires0|1|,0.4031338,1,174
ires1|1|,0.43601525,1,174
ires2|1|,0.9250248,101,274
ires3|1|,0.9944097,851,1024
ires4|1|,0.4672564,1,174
ires5|1|,0.6754379,162,335
ires6|1|,0.9871757,51,224
ires7|1|,0.9604879,51,224
ires8|1|,0.8858959,64,237
ires9|1|,0.27108687,95,268
ires10|1|,0.9600165,1001,1174
ires11|1|,0.08860505,1,174
ires12|1|,0.70273215,299,472
ires13|0|,0.25507247,1,174
ires14|0|,0.5690324,1,174
ires15|0|,0.35051122,1,174
ires16|0|,0.095114656,1,174
ires17|0|,0.17969744,1,174
ires18|0|,0.32568932,1,174
ires19|0|,0.3219042,1,174
ires20|0|,0.095114656,1,174
ires21|0|,0.3359582,1,174
ires22|0|,0.18020102,1,174
ires23|0|,0.04504943,1,174
ires24|0|,0.25675863,1,174
ires25|0|,0.27176863,1,174
